name,team,bave,games,pa,atbat,hit,homerun,runsbat,stolen,bob,hbp,strikeout,sacrifice,dp,slg,obp,ops,rc27,xr27
Lopez,GIANTS,0.243,134,407,375,91,22,57,1,20,4,66,3,15,0.464,0.285,0.749,4.09,4.27
Itaru Hashimoto,GIANTS,0.256,103,402,351,90,4,35,11,32,3,78,14,5,0.33,0.322,0.653,3.85,3.84
Yuichi Honda,SoftBank,0.291,94,398,344,100,0,21,23,33,2,47,16,10,0.36,0.353,0.714,4.53,4.41
Tomotaka Sakaguchi,ORIX,0.235,122,382,323,76,2,40,3,47,2,45,10,4,0.3,0.336,0.636,3.73,3.75
Toshiki Kurobane,DeNA,0.264,109,374,326,86,2,24,1,24,5,78,17,10,0.313,0.322,0.635,3.19,3.18
Noriharu Yamazaki,DeNA,0.239,115,374,309,74,2,20,2,19,6,64,38,4,0.294,0.295,0.589,2.72,2.76
Kosuke Fukudome,Hanshin,0.253,104,367,312,79,9,34,1,47,1,48,3,11,0.365,0.349,0.714,4.35,4.51
Yuhei Nakamura,Yakult,0.298,99,365,325,97,5,41,0,26,4,51,7,8,0.378,0.355,0.733,4.82,4.77
Ryota Imanari,Hanshin,0.259,115,362,332,86,4,24,2,18,3,48,9,9,0.34,0.303,0.643,3.22,3.14
Kazuhiro Wada,Dragons,0.281,90,356,302,85,16,65,2,45,4,38,0,11,0.493,0.376,0.87,6.37,6.44
Shohei Kato,Lotte,0.253,98,342,320,81,3,18,5,8,4,71,10,2,0.344,0.28,0.624,3.13,3.05
Kira,Hiroshima,0.257,88,335,288,74,11,40,0,41,4,85,0,4,0.417,0.355,0.772,5.46,5.5
Kosuke Tanaka,Hiroshima,0.292,110,333,295,86,9,34,10,24,4,68,5,6,0.434,0.348,0.781,5.38,5.42
Blanco,DeNA,0.283,85,333,311,88,17,60,0,18,4,91,0,5,0.492,0.33,0.822,5.77,5.63
Shota Dobayashi,Hiroshima,0.246,93,330,284,70,8,28,1,32,6,87,5,3,0.38,0.332,0.713,4.53,4.63
Fumikazu Kimura,Seibu,0.215,100,330,284,61,10,27,16,20,3,112,21,3,0.38,0.272,0.652,3.16,3.31
Ryoshuke Morioka,Yakult,0.276,100,326,301,83,2,31,1,15,3,39,5,7,0.362,0.315,0.677,3.91,3.81
Anderson,GIANTS,0.319,87,325,295,94,15,50,1,25,5,44,0,4,0.515,0.382,0.897,7.35,7.09
Hernandez,Dragons,0.262,86,304,279,73,5,32,2,19,1,58,3,4,0.373,0.309,0.682,4.03,4.01
ShotaOno,Fighters,0.174,105,304,259,45,6,19,0,19,5,52,19,6,0.282,0.242,0.524,1.83,2.03
Atsushi Fujii,Dragons,0.274,88,300,266,73,6,36,2,25,1,55,6,2,0.414,0.337,0.75,5.02,4.95
Toru Hosokawa,SoftBank,0.19,112,294,247,47,5,32,0,12,3,83,29,3,0.287,0.234,0.521,1.85,2.03
Takeshi Ueda,Yakult,0.21,115,292,252,53,2,20,16,18,3,45,16,1,0.266,0.268,0.534,2.49,2.69
Kensuke Kondo,Fighters,0.258,89,291,264,68,4,28,3,15,0,45,10,4,0.386,0.295,0.682,3.65,3.59
Shota,ORIX,0.28,127,277,246,69,5,30,5,17,2,55,12,3,0.411,0.332,0.743,4.67,4.51
Eichi Koyano,Fighters,0.296,84,274,243,72,4,29,0,22,3,40,5,4,0.403,0.361,0.764,5.29,5.09
Motonobu Tanishige,Dragons,0.195,91,274,226,44,1,23,0,39,2,36,5,8,0.257,0.316,0.573,2.61,2.75
Kenji Akashi,SoftBank,0.252,93,273,250,63,1,21,17,13,2,54,7,4,0.336,0.293,0.629,3.45,3.39
Yuji Kaneko,Seibu,0.247,91,272,243,60,2,16,21,14,2,48,12,2,0.337,0.292,0.63,3.49,3.48
Yoshiyuki Kamei,GIANTS,0.296,69,268,240,71,8,26,3,19,3,30,4,4,0.475,0.352,0.827,6.01,5.83
Ryutaro Umeno,Hanshin,0.197,92,265,249,49,7,21,0,10,2,78,2,7,0.349,0.232,0.581,2.18,2.34
Rosario,Hiroshima,0.336,69,264,238,80,14,49,1,23,1,58,0,8,0.584,0.394,0.978,7.85,7.61
NaomichiDoue,Dragons,0.228,90,261,237,54,1,17,1,10,0,45,11,8,0.266,0.256,0.522,1.79,1.94
Gourriel,DeNA,0.305,62,258,239,73,11,30,3,15,2,40,0,4,0.536,0.349,0.884,6.85,6.59
Shogo Kimura,Hiroshima,0.261,101,253,238,62,1,13,4,4,3,57,7,3,0.324,0.28,0.604,2.97,2.93
Shintaro Masuda,Rakuten,0.219,71,251,210,46,5,31,3,35,3,66,1,8,0.333,0.336,0.669,3.73,3.89
Ryuhei Matsuyama,Hiroshima,0.318,80,250,233,74,7,34,0,14,2,29,0,7,0.455,0.36,0.815,5.72,5.52
Yoshifumi Okada,Lotte,0.275,110,249,222,61,0,9,14,14,1,32,11,1,0.329,0.319,0.648,3.94,3.86
Saburo,Lotte,0.248,81,249,218,54,4,25,0,27,1,60,0,6,0.362,0.329,0.692,3.94,4.03
Yasusi Ihara,Yakult,0.306,96,244,222,68,4,29,1,14,1,29,4,4,0.423,0.346,0.769,5.24,5.14
Hiroaki Shimauchi,Rakuten,0.242,66,243,215,52,2,18,6,19,0,22,7,5,0.33,0.301,0.631,3.37,3.43
Hiroyuki Shirasaki,DeNA,0.234,101,240,209,49,1,11,4,16,0,50,15,4,0.297,0.289,0.586,2.65,2.62
Shohei Otani,Fighters,0.274,87,234,212,58,10,31,1,21,0,48,0,4,0.505,0.338,0.842,6.03,5.88
Ryota Wakitani,Seibu,0.263,96,233,205,54,2,20,4,15,2,45,10,1,0.346,0.318,0.665,4.02,3.94
Bowker,Rakuten,0.248,65,230,214,53,7,22,3,11,3,55,0,9,0.411,0.291,0.703,3.73,3.77
Shunichi Nemoto,Lotte,0.197,78,224,198,39,2,21,1,15,1,55,7,4,0.303,0.253,0.556,1.8,2.03
Yoshiyuki Ishihara,Hiroshima,0.192,80,223,193,37,4,19,1,21,1,43,8,6,0.295,0.274,0.57,2.21,2.26
Haffman,Lotte,0.27,67,210,185,50,4,28,0,20,4,51,1,1,0.443,0.354,0.797,5.79,5.5
Ryo Hijirisawa,Rakuten,0.264,66,209,182,48,1,17,5,20,4,46,2,2,0.341,0.348,0.688,4.29,4.27
Ryoji Aikawa,Yakult,0.25,58,207,192,48,2,21,0,9,2,31,2,5,0.323,0.288,0.611,2.97,3.01
Sho Aranami,DeNA,0.271,63,206,188,51,3,18,9,13,1,28,4,1,0.383,0.322,0.705,4.77,4.62
Akihisa Makida,Rakuten,0.234,77,204,184,43,2,17,0,12,3,18,5,7,0.304,0.291,0.596,2.54,2.56
Tsubasa Aizawa,Hiroshima,0.307,65,200,179,55,10,30,0,16,2,28,1,6,0.525,0.367,0.892,6.48,6.33
Ryota Arai,Hanshin,0.295,78,196,173,51,7,34,0,17,3,48,1,0,0.468,0.364,0.832,6.6,6.52
Takahiro Arai,Hanshin,0.244,94,194,176,43,3,31,0,15,2,33,0,6,0.33,0.309,0.639,3.29,3.31
Yuki Yoshimura,SoftBank,0.296,64,192,162,48,5,29,1,24,1,28,2,5,0.457,0.384,0.841,6.02,5.99
Shinya Tsuruoka,SoftBank,0.216,98,190,162,35,0,25,0,7,0,23,17,5,0.278,0.243,0.521,1.59,1.82
Hirokazu Ibata,GIANTS,0.256,87,187,164,42,3,16,0,18,0,24,4,11,0.329,0.328,0.657,3.04,3.11
Takuya Hara,ORIX,0.248,120,185,161,40,2,15,0,14,0,27,9,4,0.348,0.307,0.655,3.44,3.42
Takayoshi Kawabata,ORIX,0.288,65,184,156,45,2,16,6,12,7,25,7,5,0.372,0.362,0.733,4.66,4.63
Tetsuya Kokubo,Hiroshima,0.317,78,182,161,51,3,30,1,12,2,15,4,1,0.429,0.365,0.794,6.07,5.98
Despaigne,Lotte,0.311,45,182,161,50,12,33,0,16,2,36,0,6,0.627,0.374,1.001,7.83,7.72
Yuya Taniguchi,Fighters,0.268,72,175,164,44,2,11,3,9,0,56,2,0,0.36,0.306,0.666,4.08,3.95
Tatsuhiko Kinjo,DeNA,0.2,90,175,160,32,0,11,0,13,1,21,1,3,0.238,0.264,0.502,1.76,1.79
Hichori Morimoto,Seibu,0.252,99,173,147,37,0,13,2,16,1,42,9,0,0.347,0.329,0.676,4.04,3.9
Masayuki Kuwahara,DeNA,0.257,53,169,144,37,1,13,4,15,2,32,8,5,0.354,0.335,0.69,3.88,3.75
Takahiro Araki,Yakult,0.275,55,168,149,41,2,12,1,16,1,25,2,2,0.349,0.349,0.698,4.39,4.34
Hitoshi Tamura,DeNA,0.272,73,166,147,40,4,23,0,15,2,23,1,4,0.401,0.345,0.747,4.6,4.59
Yuya Ichikawa,Fighters,0.263,71,166,137,36,2,9,0,6,3,22,19,0,0.336,0.306,0.642,3.5,3.5
Taketoshi Goto,DeNA,0.283,68,165,145,41,7,31,0,18,0,34,1,4,0.483,0.36,0.843,6.02,5.93
Kazunari Tsuruoka,Hanshin,0.221,77,163,154,34,0,12,0,3,1,30,4,10,0.266,0.239,0.505,1.11,1.16
Masato Matsui,Dragons,0.176,67,162,142,25,1,4,3,16,0,47,4,3,0.232,0.259,0.492,1.67,1.8
Shuhei Takahashi,Dragons,0.257,61,156,144,37,6,14,0,8,0,29,2,2,0.451,0.292,0.744,4.55,4.61
Takashi Ogino,Lotte,0.261,40,155,142,37,3,12,15,8,0,14,5,1,0.423,0.3,0.723,5.02,4.81
